name,type,source
"Bis(3-[14-Benzyl-11-(1H-indol-3-ylmethyl)-2-isobutyl-13-methyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide)",compound,chembl
"3-[11,14-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",compound,chembl
"3-[14-Benzyl-11-(1H-indol-3-ylmethyl)-2-isobutyl-13-methyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,20-hexaoxo-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-en-8-yl]-propionamide",compound,chembl
"11,14-Dibenzyl-2-isobutyl-8-methyl-5-(2-methylsulfanyl-ethyl)-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",compound,chembl
"3-[17-Benzyl-14-(1H-indol-3-ylmethyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18,23-heptaoxo-1,4,7,10,13,16,19-heptaaza-bicyclo[18.2.1]tricos-21-en-11-yl]-propionamide",compound,chembl
"3-[5-Benzyl-8-(1H-indol-3-ylmethyl)-17-isobutyl-14-(2-methylsulfanyl-ethyl)-4,7,10,13,16,19-hexaoxo-octadecahydro-3a,6,9,12,15,18-hexaaza-cyclopentacyclooctadecen-11-yl]-propionamide",compound,chembl
"11,14-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",compound,chembl
"14-Benzyl-2-isobutyl-11-methyl-5-(2-methylsulfanyl-ethyl)-11-naphthalen-1-yl-1,4,7,10,13,16-hexaaza-bicyclo[15.2.1]icos-18-ene-3,6,9,12,15,20-hexaone",compound,chembl
"3-[17,20-Dibenzyl-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,12,15,18,21,26-heptaoxo-1,4,7,13,16,19,22-heptaaza-tricyclo[21.2.1.0*7,11*]hexacos-24-en-14-yl]-propionamide",compound,chembl
"3-[17-Benzyl-14-(4-hydroxy-benzyl)-2-isobutyl-5-(2-methylsulfanyl-ethyl)-3,6,9,12,15,18,23-heptaoxo-1,4,7,10,13,16,19-heptaaza-bicyclo[18.2.1]tricos-21-en-11-yl]-propionamide",compound,chembl
Cyanidin 3-(6''-acetyl-galactoside),compound,food_db
Cyanidin 3-(6''-succinyl-glucoside),compound,food_db
Pelargonidin 3-(6''-succinyl-glucoside),compound,food_db
Petunidin 3-O-(6''-acetyl-galactoside),compound,food_db
Peonidin 3-(6''-acetyl-galactoside),compound,food_db
Malvidin 3-(6''-acetyl-galactoside),compound,food_db
Pelargonidin 3-arabinoside,compound,food_db
Peonidin 3-(6''-p-coumaroyl-glucoside),compound,food_db
Delphinidin 3-xyloside,compound,food_db
Petunidin 3-(6''-p-coumaroyl-glucoside),compound,food_db
p-Coumaroyl vitisin A,compound,food_db
Pinotin A,compound,food_db
Malvidin 3-(6''-caffeoyl-glucoside),compound,food_db
Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside),compound,food_db
Delphinidin 3-feruloylglucoside,compound,food_db
Luteolinidin,compound,food_db
Butein,compound,food_db
Phloretin-2'-O-(2''-O-xylosylglucoside),compound,food_db
3-Hydroxyphloretin 2'-O-xylosyl-glucoside,compound,food_db
3-Hydroxyphloretin 2'-O-glucoside,compound,food_db
ent-Gallocatechin 3-gallate,compound,food_db
Procyanidin trimer EEC,compound,food_db
Prodelphinidin trimer GC-GC-C,compound,food_db
Prodelphinidin trimer GC-C-C,compound,food_db
"Epicatechin-(2alpha->7,4alpha->8)-epicatechin 3-galactoside",compound,food_db
6-Geranylnaringenin,compound,food_db
Luteolin 7-O-diglucuronide,compound,food_db
Apigenin 6-C-arabinoside 8-C-glucoside,compound,food_db
Apigenin 6-C-galactoside 8-C-arabinoside,compound,food_db
Apigenin 7-O-glucuronide,compound,food_db
Luteolin 7-malonylglucoside,compound,food_db
